IMG;Ingr nr total - file;Ingr nr;Ingr nr identified;Ingr list;Ingr identified;Nr AB ingr - file;Nr AB ingr identified;AB ingr list - file;AB ingr list identified;Overlap (TP);Missed (FN);Extra (FP);AB ingr overlap (TP);AB ingr missed (FN);Wrongly flagged (FP)
n27;54;54;228;['kviešu miiti', 'margarīns', 'palmu tauki un eļļa', 'ūdens', 'emulgators taukskābju monoglicerīdi un diglicerīdi', 'sāls', 'konservants kālija sorbāts', 'skābuma regulētājs citronskābe', 'aromatizētājs', 'krāsviela karotīni', 'augu tauku putukrējums', 'ūdens', 'pilnīgi hidrogenēti augu tauki un eļļas', 'palmu', 'rapšu', 'saulespuķu', 'kukurūzas', 'sojas', 'cukurs', 'stabilizētāji', 'sorbīta sīrups', 'ciete', 'piena olbaltumvielas', 'emulgatori', 'taukskābju monoglicerīdu un diglicerīdu monoacetilvīnskābes un diacetilvīnskābes esteri', 'sojas lecitīni', 'taukskābju monoglicerīdu un diglicerīdu pienskābes esteri', 'sāls', 'aromatizētājs', 'krāsviela beta', 'karotīns', 'ūdens', 'kukurūzas ciete', 'garšviela', 'cukurs', 'sāls', 'sīpolu pulveris', 'aromatizētāji', 'satur krāsvielu paprikas ekstraktu', 'ķiploku pulveris', 'garšas pastiprinātāji', 'mononātrija glutamāts', 'dinātrija 5`ribonukleotīdi', 'skābuma regulētājs citronskābe', 'maltodekstrīns', 'tomātu pulveris', 'pilnīgi hidrogenēta rapšu eļļa', 'krāsviela paprikas ekstrakts', 'antioksidants rozmarīna ekstrakts', 'sāls', 'cukurs', 'kaltēti tomāti', 'kaltēts baziliks', 'aromatizētājs bazilika'];[': m as\nā pi  — o - i eļļa, pri emulgators taukskābju monoglicerīdi un bj * | a\na —— uigleridi, sals, konservants kālija sorbāts, skābuma regulētājs citronskābe, aromatizētājs, am ua\nj <} krāsviela karotīni}, augu tauku putukrējums {ūdens, pilnīgi hidrogenēti augu tauki un olas ., = |\n——— {palmu, rapšu, saulespuķu, kukurūzas, sojas}, cukurs, stabilizētāji {sorbīta sīrups, ciete}, piena a m\nau olbaltumvielas, emulgatori {taukskābju monoglicerīdu un digliceridu monoacetilvīnskābes un b jā\nm diacetilvinskābes esteri, sojas iecitīni, taukskābju monoglicerīdu un diglicerīdu pienskābes esteri}, 9\n—————— sāls, aromatizētājs, krāsviela beta-karotīns}, ūdens, kukurūzas ciete, garšviela {cukurs, sāls, sīpolu | ē\nm pulveris, aromatizētāji {satur krāsvielu paprikas ekstraktu}, ķiploku pulveris, garšas pastiprinātāji a4 v\n{mononātrija glutamāts, dinātrija 5 ribonukleotīdi}, skābuma regulētājs citronskābe, maltodekstrīns, | 2805\n— — tomātu pulveris, pilnīgi hidrogenēta rapšu eļļa, krāsviela paprikas ekstrakts, antioksidants = 2:\n—  — rozmarīna ekstrakts}, sāls, cukurs, kaltēti tomāti 0,28%, kaltēts baziliks 0,14%, aromatizētājs 48\nbazilika. varsaturēt olu, zemesriekstu u.c. riekstu daļiņas. uzglabāt: 18+/-5?c temperatūrā. ai\nww 100 g produkta uzturvērtība: enerģētiskā vērtība — 2148 kj/ 515 kcal, tauki -32g {tostarp | :\n—  piesātinātāstaukskābes= 199}, ogļhidrāti—50g {tostarp cukuri-3,44}, olbaltumvielas 6,7 g, | -”\nsāls — 2,3 g. * ieteicamā deva vidusmēra pieaugušajam {e2400 k} vai 2000 kcal}. **1 porcija satur a m a -\nui: aptuveni $ g. šis iepakojums satur = 35 porcijas. ražotājs: sia „orkla latvija , miera iela 22, j | }\n„ - rīga,lv-1001, latvija. tālrunis atsauksmēm +37167080700. www.staburadze.lv ā š ž\nls uzporiu 4 ie\n* mm  orkla 11} || |} | 11 mo\nie fr kra | rtviica , %* 0\n\n'];1;4;['piena olbaltumvielas'];['olas', 'piena', 'olu', 'miera'];1;0;3;['piena'];[];['olas', 'olu', 'miera']
n28;34;34;110;['kviešu milti', 'margarīns', 'augu eļļa', 'palmu', 'rapšu', 'ūdens', 'pārtikas sāls', 'emulgātori', 'sojas lecitīns', 'taukskābju monoglicerīdi un diglicerīdi', 'konservants', 'kālija sorbāts', '<', 'skābuma regulētājs', 'citronskābe', 'dabīgs aromatizētājs', 'sviesta', 'pārtikas krāsviela', 'beta karotīns', 'rapšu eļļa', 'siers', 'govs piens', 'pārtikas sāls', 'konservants', 'e252', 'siera ieraugs', 'ferments', 'renīns', 'pārtikas krāsviela', 'beta karotīns', 'olu masa', 'sāls', 'kartupeļu ciete', 'cukurs'];['-\n< ļ id a\nkraukšķīgiesiera groziņ_y=-=-—-—-——- j—\nsastā = kviešu milti. maraarīne laueu alla ana | produkta uzturvertība uz 100g/ toitevāārt\n— stāvdaļas: kviešu milti, margarīns {augu eļļas 80% tootekoltta/10} ertia uz us\na" {palmu, rapšu}, ūdens, pārtikas sāls, emulgātori: {sojas = |99\n! še lecitīns, taukskābju monoglicerīdi un diglicerīdi}, enerģētiska vērtība/ energeetiline vāārtus / energi\na. konservants: kālija sorbāts {<1%}, skābuma regulētājs: | vertē/ energy ga\n- citronskābe, dabīgs aromatizētājs: sviesta, pārtikas = ar easvad/ rie alailfat a\na} krāsviela: beta karotīns}, rapšu eļļa, siers {14%} {govs |\n— piens, pārtikas sāls, konservants. e252, siera ieraugs, — | tostarp piesātinātās taukski\n- sa, sāls {2%}, kartupeļu ciete, cukurs. var. —\ni kā aae a mana niem tiek — a :\nzemesriekstu daļiņas un sezama seklas. uzglabā = ta |\nbrr tuk\nļ 4.\n| : .\n\n'];6;4;['sviesta', 'siers', 'govs piens', 'siera ieraugs', 'renīns', 'olu masa'];['sviesta', 'siers', 'piens', 'siera'];4;2;0;['sviesta', 'siers', 'piens', 'siera'];['renīns', 'olu masa'];[]
n29;24;24;77;['rīsi', 'ūdens', 'kartupeļi', 'sīpoli', 'tomātu pasta', 'liellopu gaļa', 'burkāni', 'sāls', 'sausais garšaugu buljons', 'satur garšas pastiprinātāju nātrija glutamātu', 'krāsvielu e100', 'rapšu eļļa', 'selerijas', 'sausais liellopu gaļas buljons', 'liellopu buljons', 'liellopu tauki', 'satur rozmarīna ekstraktu', 'liellopu gaļas pulveris', 'maltodekstrīns', 'ķiploki', 'cukurs', 'skābuma regulētājs', 'citronskābe', 'garšvielas'];[': rīsi, ūdens, kartupeļi, sīp,\nz liellopu gaļa 7%, burkāni, sāls, sausais\nē vir garšas pastiprinātāju nātrija a\n- e100}, au eļļa, selerijas, sausa\n"{liellopu buljons, liellopu tauki {satur | n d j\nm „liellopu ga ās pulveris, maltode ri\n"  rurerareduētājs {citronskābe}, s. _ ā\nprodukta vidējā uzturvēi ss sl\nsdr aa mam\nēherģētiskā vērtība, kj/kcz x\nģ tiskā vērtība, kj/kc pā\ntauki, g , 00\n_—,},š - o\nuk tostarp piesātinātās tai >\nriba yo}\nogļhidrāti, g\n4 —. -\n_iarpauku”\n\' o\'baltumviela\n_—\ni —\n. {a\npašn mp }\n\n'];5;2;['liellopu gaļa', 'sausais liellopu gaļas buljons', 'liellopu buljons', 'liellopu tauki', 'liellopu gaļas pulveris'];['liellopu gaļa', '„liellopu'];2;3;0;['liellopu gaļa', '„liellopu'];['liellopu buljons', 'liellopu tauki', 'liellopu gaļas pulveris'];[]
n30;24;24;97;['rīsi', 'ūdens', 'kartupeļi', 'sīpoli', 'tomātu pasta', 'liellopu gaļa', 'burkāni', 'sāls', 'sausais garšaugu buljons', 'satur garšas pastiprinātāju nātrija glutamātu', 'krāsvielu e100', 'rapšu eļļa', 'selerijas', 'sausais liellopu gaļas buljons', 'liellopu buljons', 'liellopu tauki', 'satur rozmarīna ekstraktu', 'liellopu gaļas pulveris', 'maltodekstrīns', 'ķiploki', 'cukurs', 'skābuma regulētājs', 'citronskābe', 'garšvielas'];['a add āā\n—— -\n, " —— a = r pe = m 3 e- a a . m”\ni ed i a 6 <\n"< — sz erš "= * : š a m * +\nve ā ā i , : : a . ne ma a . „m\nm oo — 228 n\n. meastavdaļasštīsi, ūdens, kartupeļi, sīpoli\n3 arona gaļā 1%, burkāni, sāls, sausais | m\nre  balur garšas pastiprinātāju nātrija alu!\na 7 bu ela, selerijas, sausais lie : \' *\nliellopu g: lieliopu tauki {satur rozi a -—-—-—--— di «\nsalonu ga lētās teu, maltodekst  _”s—=—_—č\nbuma regulētājs {citronskābe}, ga ai —. 0\nsr\n} 10starp cukuri š\nobatum\naltumvielas «\nd} sāls 3\nilā n : ā a\n\n'];5;2;['liellopu gaļa', 'sausais liellopu gaļas buljons', 'liellopu buljons', 'liellopu tauki', 'liellopu gaļas pulveris'];['liellopu', 'lieliopu'];2;3;0;['liellopu', 'lieliopu'];['liellopu buljons', 'liellopu tauki', 'liellopu gaļas pulveris'];[]
n31;29;29;65;['sīpoli', 'marinēti gurķi', 'gurķi', 'cukurs', 'sāls', 'etiķis', 'sinepes', 'aromatizētājs', 'cūkgaļa', 'ūdens', 'tomātu pasta', 'žāvēta desa', 'liellopu gaļa', 'cūkgaļa', 'cūku tauki', 'garšvielas', 'sinepes', 'aromatizētājs', 'kviešu milti', 'cukurs', 'olīvas', 'sāls', 'sausais liellopu gaļas buljons', 'sausais garšaugu buljons', 'satur garšas pastiprinātāju nātrija glutamātu', 'rapšu eļļa', 'skābuma regulētājs', 'citronskābe', 'melnie pipari'];[': sīpoli, marinēti gurķi {gurķi, cuku\nirsinepes, aromatizētājs}, cūkgaļa 15,8%, ūd\nja ipasta, žāvētādesa 5,2% {liellopu gaļa, cūka n ā\nnē garšvielas, sinepes, aromatizētājs}, kvie: j ļ :\nolīvas, sāls, sausais liellopu gaļas buljons, : } } ģ\n- buljons {satur garšas pastiprinātāju n o -\n rapšueļļa, skābuma regulētājs {citronskā o\niespējams var: |\na a\n= =d .\nnostarp cukuri, g t\nolbaltumvielas, g |\nstr www s: . sw\nražotājs, orkla eesti as, pēltsamaa factory, | ———\ntallinna mnt 1,48103, poltsamaa, igaunija. ss\n\n'];6;4;['cūkgaļa', 'žāvēta desa', 'liellopu gaļa', 'cūkgaļa', 'cūku tauki', 'sausais liellopu gaļas buljons'];['liellopu gaļa', 'gaļas', 'cūka', 'cūkgaļa'];3;3;1;['liellopu gaļa', 'cūkgaļa', 'gaļas'];['žāvēta desa', 'cūkgaļa', 'cūku tauki'];['cūka']
n32;5;5;38;['kūpinātas reņģes', 'clupea harengus membras', 'baltijas jūra', 'rapšu eļļa', 'pārtikas sāls'];['īļā u ,\ndalās — ā ——\nav re sa\nbas t , 4 a po } : = jss t\n{s pien n ļ i a\n„vi ils ķ\nm "ba sb d\n: v\n| =\na\nm ,\n11750616"000258\' m\nnas uzglabāt ledusskapī neiiga\n< ,\n" a\nje\n\n'];2;1;['kūpinātas reņģes', 'Clupea harengus membras'];['pien'];0;2;1;[];['kūpinātas reņģes', 'Clupea harengus membras'];['pien']
n33;3;3;114;['tuncis', 'olīveļļa', 'pārtikas sāls'];[': tuncis”**, olīveļļa, pārtikas sāls. izplatītājs: sia j\nnr olwa 2 oliwek, s6l. dystrybutor: bolton polska sp. z 0.0., ul. domaniewska |\nawemnugvop: eoc-jij im ctpmeiolubh e001, rp. coģuna 1839, yj1. "yenonenuko |\nietribuitor: orbico srl - str. nicolae lorga, nr. 28-30, clādirea c2, sector 1,\n{e16022 120. cd tunāk v olivovēm ieeritikm pm, ,\na renublika. go tuniak v olivovom olēji. zloženie: tuniak pruhovany””, ā\n"706 bratislava, slovenskā republika. €9 tyhelļb b iztika\nt } 1pox0nohhomy bkvtm peace 044}2064692. **euthynnus —\nykp {042, m. kui8, npob. hoboone4deplcbkmh 2, nr > —-\ntzez 38omuten / produs de / ražotājs / tootja / vyrobce / araa oo ——\ntel. +39031779111. j\n} "m ģ x\nr in nn ā:\nla « — € km4 | y open here j -\n3 ik\n\n'];1;1;['tuncis'];['tuncis'];1;0;0;['tuncis'];[];[]
n34;21;21;270;['ūdens', 'tomāti', 'jogurts', 'rapšu eļļa', 'tomātu pasta', 'krējums', 'sīpoli', 'cukurs', 'ingvera biezenis', 'modificēta ciete', 'piena olbaltumvielas', 'sāls', 'koncentrēta citronu sula', 'garšvielas', 'kokosriekstu eļļa', 'aromatizētāji', 'ķiploki', 'koriandra lapas', 'sierāboliņa lapas', 'sarkanais čili', 'paprikas ekstrakts'];[', u li — a „x * x\ngs jogurt 144%, rapsiēli, ūdens, tomāti 22,6%, jogurts 144%, rapšu daljs, vanduo, poda ja nea — —\nt} ur to, sībul, eļļa, tomātu pasta 6,2%, krējums 5,7%, 144%, rapsu alēju nmāoija — —” ./—\nmeiee 204 modifitseeritud sīpoli, cukurs, ingvera biezenis 2,6%, grietinēle 57%, srogina a —\njr, <00, sidrunimahla modificēta ciete, piena olbaltumvielas, īrē ls im č\nm not, kookospēhkliēli, sāls, koncentrēta citronu sula, garšvielas, dauna aspa ire\n»%1 ! mivdned kūlislauk, kokosriekstu eļļa, aromatizētāji, ķiploki, a onū ieriu ki ā\n< "alu punane koriandra lapas, | a at a ž sā, muirēj ab : ā\n— na . k lunisalane sarkanais čili, paprikas ekstrakts. 10{ g ru _\nteu vse tus 58. k produkta uzturvērtība: enerģētiskā maistingumas ae eee | "m\naaa et ilēstunud vērtība 586 kj/ 141 kcal, tauki 9,0 g, tostarp malsbl kursa\n«in wovesikud rns sales cal, hidrāti iebalai 904 a nīņ\n"i brii či u piesātinātās taukskābes 2,0 g, 1% k 4d of anlam fr . 2\ns00 paim m } 8 9 120 g, tostarp cukuri 7,5 g, ar ž g sedis .\nkit s ru 08 g, olbaltumvielas 2,5 g, sāls 1, } druska 144. pr " m\nbad pie doku mt ieteicams līdz: skatīt uz iepakojuma. pakuotēs lini da m4 m\na nest uzglabāt vēsā un sausā vieta. mr do atdeņm pag, 4 a j\nn tesmii bigias iepakojuma atvēršanas izlietot 3 dien per 3 der ž al = 7\ndl rare bet lēkā. pēc avērlanas a eo o\na 308 ha : nažots beļģijā pēc īpaša pasi uab a al} :_->očvoģo 9 enģ:6sēsaņmķs=sesee»\nua era resti, „platītājs davij p sia u ā retu iris ae note\ndeglava iela 161, rīga, lv ša, apļa 4\nbezmaksas tālrunis atsauksmēm latvija\n80000 180,\nu — —\n\n'];3;5;['jogurts', 'krējums', 'piena olbaltumvielas'];['jogurts', 'krējums', 'piena', 'jogurt', 'vieta'];3;0;2;['jogurts', 'krējums', 'piena'];[];['jogurt', 'vieta']
n35;15;15;1;['auzu pārslas pilngraudu', 'cukurs', 'zemesrieksti', 'pilngraudu milti', 'kviešu', 'rudzu', 'sviests saldkrējuma', 'karamele', 'cukurs', 'piens', 'palmu un basijas kodolu eļļa', 'glikozes sīrups', 'saulespuķu eļļa', 'kefīrs', 'sāls'];[", a\n' um\n\n"];3;0;['sviests saldkrējuma', 'piens', 'kefīrs'];[];0;3;0;[];['sviests saldkrējuma', 'piens', 'kefīrs'];[]
n36;19;19;163;['kviešu milti', 'cukurs', 'augu tauki mainīgās proporcijās', 'palmu', 'palmu kodolu', 'kokosriekstu', 'saulespuķu', 'kviešu ciete', 'glikozes sīrups', 'kakao pulveris ar samazinātu tauku saturu', 'irdinātāji', 'e503', 'e500', 'sāls', 'vājpiena pulveris', 'emulgators e322', 'saulespuķu', 'sūkalu izstrādājums', 'skābuma regulētājs e500'];['f . ž\n| ba\nšā pi{ i da rvietinia ilta \'l ja\n+ hh : ar j tauku saturu 4%, irc f e503, e50 jrupas, liesi kakave milteliai 4%, tešlos ldin\n2. alille}, f jiena pulveris, emulgators e322 {sai puķu}, sūkali n pilno milkeļu, emulsiklis\nā da pāhkliti ms, skābuma reaulētājs e500. var saturētriekstu, sojas un olt reguliuojanti medžiaga e\nanergiasisaldus | daļiņas. 100 g produkta uzturvērtība: enerģētiskā vērtība 1965 k} iy „100 g produkto istingum\nlast ur vhappec 168 «ca uk 8{ \' tostarp piesātinātā: ft rskāk 101 j, 00 fa "ara ara ta er re\naa dained 30 g. salsa o ieteicams līdz: katīt uz drista 0,4 g. geriausjas iki: žr ant pakuotēs laik\nparastavamist sālitada no tiešiem saules stariem. pēc atvēršanas anāvei nuo tiesloginig saulēs spinduliy. atidari> "ap\ni rm ateimuset | redkā radosvādā picipas ām pasitjuma ilmārs s | apple jap ieleto er 27\nnounē rimi a. , nīga, lv-1021. bezmaksas talrun etuvoje: uab „rimi liet apaucos s\nr es \' atsauksmēm ar 80000 180. nemokamas klien "2\n\na _- i —\n\naw ee\n\n'];2;2;['vājpiena pulveris', 'sūkalu izstrādājums'];['jiena', 'sūkali'];2;0;0;['jiena', 'sūkali'];[];[]
n37;5;5;97;['saldais krējums', 'stabilizētāji', 'karagināns', 'polifosfāti', 'nātrija fosfāti'];[': saldais krējums, stabilizētāji: karagināns,\npolirosiati, nātrija fosfāti. izlietot līdz un ražošanas din datu a j\niepakojuma. pirms putošanas atdzesēt +2 c... + €\n{ed rēēsk koor 35%. kērapastriseeritud. koostisosad: 3}\nrūēsk koor, stabilisaatorid: karmageen, polifosfaat, dil m\nnaatriumtosfaadid. kēlblik kuni ja tootmise kuupdev. vt 1\npeendī tkl ba lasa ennevahustamist +27... +44 c -\naa ae 35%. apdorota itin aukštoje temperatūroje. :\nsudedamosios me stabilizatoriai: karageninas,\npolifosfatai, natrio fosfatai. tika vartotī ikiir perma data:\n1, ant pakuotes. prieš plakantatvēsinkīte +2 l.. +470\nutmbkm 35%. yrbrparacrepm30bahhoe. {0ctb: }\njimbkm, cta6ww3atopbl: kapparmhah, nonmpocbatbi jā \'\nbocbarol harpus. ynotpedvīb {0 m lara npov3bojcīa: i ss\nna „rare lonon renurihmem ol "rr\n\n'];1;2;['saldais krējums'];['saldais krējums', 'perma'];1;0;1;['saldais krējums'];[];['perma']
n38;5;5;83;['saldais krējums', 'stabilizētāji', 'karagināns', 'polifosfāti', 'nātrija fosfāti'];[': saldais krējums, stabilizētāji nu h\nkaragināns, polifosfāti, rr” fosfāti. izlietot līdz un a\nražošanas datums: skatīt uz iepakojuma, pm .\n{ed rēēskkoor 10%. a — koostisosad: "\nrēēsk koor, stabilisaatorid: karmrageen, polūfosfaat,\nnaatriumfosfaadid. kēlblik kuni ja tootmise kuupdev. vt\nkendilt. < ij\na grietinēlē 10%. apdorota itin aukstoje temperatūroje. "a\nsudedamosios dalys: grietinēlē, stabllizatoriai: -\nkarageninas, polifosfatai, natno fosfatai, tinka vartoti iki ir \'\npa minimo data: žr. ant pakuotēs. . -\n| fd cimbkm 10%. jrībrparactep/30bahhoe. cocrab: —\njimbkm, cta6ww3atopbi: kapparvēāa, nonm$o0cpatbl, d\n{bocpaībi hatpma. ņnorpe6wīb 40 m mara npov3bojctba:\nai r nie derīguma temina/\n\n'];1;1;['saldais krējums'];['saldais krējums'];1;0;0;['saldais krējums'];[];[]
n39;10;10;167;['zemesrieksti', 'cukurs', 'medus', 'saulespuķu eļļa', 'zemesriekstu eļļa', 'sāls', 'kartupeļu ciete', 'maltodekstrīns', 'biezinātājs', 'ksantāna sveķi'];[': zemesrieksti {83%}\noesraviajas: 6}, cukur 5%},\nsaulespuķu eļļa, zemesriekstu eļļa, sāls {1%} rartāpēlu ciete\nmaltodekstrīns, biezinātājs {ksantāna sveķi}. var. brīdinājums: mazi bērni var aizrīties ar riekstiem.\nražots dānijā. zemesriekstu izcelsme.\n—  -  .......ņņņņņ{{ņ{ņņ{ - -\n, uzturvertība/\nn roasted, salted peanuts with honey nutrition value/\nss ši\nretients: peanuts {83%}, sugar, noney s artta oil, mmijebaa lehhocto\n2: trin, thickener {xantan\n"4 gua, salt {1%} m tus iaroīnas sal children can  enerģētiskā vērtība/ energy/ 34epre*"\nchoke * 9y contain rem tenmerk, peanut origin is not eu. luehhoctb {kj/k x / kcal/kkari\nk a m anaklc c mejomaā tauki/ fat/ upei {9/1},\nru mkapehbin conehbim apax tostarp piesātinātās taukskābes or\nco f {5%}, nogconhe4hoe macjno, of which saturates/ b tom «moi*\nananass apaxvc {83%}, caxxap., 10} kaproe/ībiblli kpaxmaji, xmphbie kmcnotbi {g/r}\nanu š0e macno, conb | {kcakraoban kamemb}. morym oohidrāti/ carbohvarate p7\nre dk s ctpmh, garycīmte}1b k ve 3ha4ehma nmlliļebom j kuri/ of which sugē*\nwe ua ba : ex0b. cpelbr p tc 022/2011}: tostarp cukuri/ of whic\nham m *l 1actmlibi op pa marho tpnu va e i” emu uveje caxapa {0/}\n\n'];1;0;['medus'];[];0;1;0;[];['medus'];[]
n40;28;28;90;['ūdens', 'rapšu eļļa', 'marinēti dārzeņi', 'gurķi', 'burkāni', 'sīpoli', 'paprika', 'ziedkāposti', 'etiķis', 'aromatizētāji', 'cukurs', 'modificēta ciete', 'vājpiena pulveris', 'sinepes', 'olu dzeltenuma masa', 'jodēts sāls', 'skābuma regulētājs', 'etiķskābe', 'biezinātājs', 'ksantāna sveķi', 'konservants', 'kālija sorbāts', 'krāsviela', 'beta', 'karotīns', 'aromatizētājs', 'antioksidants', 'e385'];[': ūdens. rapšu eļļa ,\na marinēti dārzeņi {gurki, burkāni ra a 4\nenergētiskā —— 1845kj sīpoli, paprika, ziedkāposti etikis\nvērtība 995keal aromatizētāji}, cukurs, - gg\ntauku... 300 modieicēta ciete, vājpiena\n"tostarp pulveris, sinepes, olu\npiesātinātās dzeltenuma masa, jodēts sāls,\ntaukskābes... 229 skābuma regulētājs {etikskābe}\nuglaidrāti........ 189 biezinātājs {ksantāna sveki}\n" 1ostarp konservants {kālija sorbāts}\nkuri... 100 krāsviela {beta -karotīns}\nolbaltumvielas 110 aromatizētājs, antioksidants\nvi n t -\n18 {88\nieteicams līdz: skatīt atzīmi uz iepakojuma —\n, "zglabāt temperatūrā no +2 līdz +20 "c\n% pēc atvēršanas uzglabāt ledusskapī +2..+8 0\nma —————— až{cr\net razotajs: sia splive babītes pac\n\n'];2;3;['vājpiena pulveris', 'olu dzeltenuma masa'];['vājpiena', 'olu', 'dzeltenuma'];2;0;1;['vājpiena', 'olu'];[];['dzeltenuma']
n41;28;28;83;['rapšu eļļa', 'ūdens', 'tomātu pasta', 'cukurs', 'etiķis', 'garšvielu maisījums', 'maltodekstrīns', 'sāls', 'sīpoli', 'cukurs', 'rauga ekstrakts', 'garšvielas', 'paprika', 'burkāni', 'pastinaks', 'aromatizētājs', 'sūkalu pulveris', 'skābuma regulētājs etiķskābe', 'olu dzeltenuma pulveris', 'modificēta ciete', 'sāls', 'sinepju pulveris', 'stabilizētāji', 'ksantāna', 'guāra sveķi', 'konservants kālija sorbāts', 'krāsviela paprikas ekstrakts', 'antioksidants e385'];[': rapšu ela, ūdens tomātu\nzi * s r r r r:\nenerģētiskā 1826k pasta {5%, cukurs, etiķis, garšvielu\nvērtība... ..44dkcal —malsījums {maltodekstrīns, sāls, sīpol,\nlauki lg cukurs, rauga ekstrakts garšvielas aršvielas\niaujd piesātinātās pīkols burkāni, pastinaks, aromatizētājs, ———————\ntaukskābes .....33g — sūkalu pulveris skābuma regulētājs\nogļhidrāti... 987 etiķskābe} olu dzeltenuma pulvens\niestarp cukuri..6,5g  nodificēta ciete, sāls, sinepju pulveris,\nubaltumvielas.....1 6 —stabilzētāji {ksantāna, gvāra sveķi}\nsāls... ...... lg —konservants kālija sorbāts, krāsviela\n4 rapēmeļlasizcelsme\n—— s < iepakojuma. uzglabāt temperatūrā —- 71 |\npe — n aa aa ae ek a m\n\n'];2;2;['sūkalu pulveris', 'olu dzeltenuma pulveris'];['sūkalu pulveris', 'olu dzeltenuma'];2;0;0;['sūkalu pulveris', 'olu dzeltenuma'];[];[]
n42;40;40;114;['saldskābmaize', 'rudzu milti', 'kviešu milti', 'cukurs', 'raugs', 'ķimenes', 'sāls', 'rudzu iesals', 'kviešu lipeklis', 'rapšu eļļa', 'krējuma sīpolu aromāts', 'sāls', 'sīpolu pulveris', 'dekstroze', 'garšas pastiprinātāji', 'e621', 'e635', 'cukurs', 'piena pulveris', 'kviešu proteīna olbaltumvielas', 'kviešu ekstrakts', 'ķiploku pulveris', 'siera pulveris', 'kvieši', 'siers', 'sviests', 'sāls', 'skābuma regulētājs', 'e270', 'e330', 'palmu eļļa', 'aromatizētājs', 'garšvielas', 'irdinātājs', 'e551', 'skābuma regulētājs', 'e327', 'hidrolizētas augu olbaltumvielas', 'saulespuķu eļļa', 'sāls'];[': saldskābmaize {rudzu milti, kviešu milti, cukurs, raugs,\nķimenes, sāls, rudzu iesals, kviešu lipeklis}, rapšu eļļa, krējuma sīpolu\naromats 2% {sāls, sīpolu pulveris, dekstroze, garšas pastiprinātāji:\ne621, e633, cukurs, piena pulveris, kviešu proteīna olbaltumvielas,\nkviešu ekstrakts, ķiploku pulveris, siera pulveris {kvieši, siers,\nsviests, sāls}, skābuma regulētājs: e270, e330, palmu eļļa,\naromatizētajs, garšvielas, irdinātājs: e351, skābuma regulētājs: e327,\nhidrolizētas augu olbaltumvielas, saulespuķu eļļa}, sals.\n\nenerģētiskā vērtība: 1518 kj/ 363 kcal.\n\n. 100 g produkta satur: taukus 16 g, tostarp piesātinātās taukskābes\n1,2 g, ogļhidrātus 45 g, tostarp cukurus 7,1 g, olbaltumvielas 6,0 g, sāli\n2,2 g. produkta gatavošana notiek vidē, kur var atrasties zemesriekstu,\nmandeļu, lazdu riekstu, valriekstu, pistāciju, sezama sēklu, olu, piena,\nsojas, kviešu un rudzu miltu daļiņas.\nleteicamā 1701hādanas temneratūra»+ +27202495300 t+toemneratūrā pēr\n\n'];4;6;['piena pulveris', 'siera pulveris', 'siers', 'sviests'];['krējuma', 'piena', 'siera', 'siers', 'olu', 'sviests'];4;0;2;['siers', 'sviests', 'piena', 'siera'];[];['krējuma', 'olu']
n43;25;25;80;['rapšu eļļa', 'ūdens', 'sinepes', 'ūdens', 'sinepju pulveris', 'cukurs', 'rapšu eļļa', 'sāls', 'skābuma regulētājs etiķskābe', 'konservants kālija sorbāts', 'etiķis', 'medus', 'olu pulveris', 'modificēta ciete', 'sāls', 'cukurs', 'stabilizētāji', 'ksantāna', 'guāra sveķi', 'krāsviela beta', 'karotīns', 'ķiploku pulveris', 'konservants kālija sorbāts', 'melnie pipari', 'antioksidants e385'];[": rapšu eļļa, ūdens,\nenerģētiskā e12644} sinepes 5,5% {ūdens, sinepju '\nvērtība... 453kcal pulveris vada tiairkiij ka\ntauki.................4} g sāls, skābuma regulētājs etiķskābe,\ntostarp piesātinātās  konservants kālija sorbāts}, etiķis.\nliukskābes... 35 medus, olu pulveris modele\nogļhidrāti ...........5,1g ciete, sāls, cukurs, stabilizētāji\nolbaltumvielas... 4g neta-karatīns, ķiploku pulvera\nsāls.................. | 06g kanservaņts kālija sorlājs menē\npipari antieksidants e385. rapšu\n— ellasizcelsme-e9--\ni —— a pe ieee ie ee s\n== j 4 ieteicams līdz skatīt atzīmi z _\n— es c iepakojuma at avēršanas 12 pā\nee k a d ž—\n\n"];2;2;['medus', 'olu pulveris'];['olu pulveris', 'medus'];2;0;0;['olu pulveris', 'medus'];[];[]
