ID;nr total;nr AB;list
n89;25;3;pilnpiena pulveris,vājpiena puveris,ar pienu
n90;13;5;pilnpiena pulveris,sūkalu pulveris,no piena,vājpiena pulveris,piena tauki
n91;11;4;pilnpiena pulveris,sūkalu pulveris,no piena,piena tauki
n92;8;1;piena tauki
n93;17;4;piena šokolāde,pilnpiena ulveris,vājpiena pulveris,bezūdens piena tauki
n94;22;6;vājpiena pulveris,iebiezināts vājpiens,iebiezinātas sūkalas,laktoze,sviests,sūkalu produkts
n95;14;3;iebiezināts piens ar cukuru,piens,olu pulveris
n96;21;1;pilnpiena pulveris
n97;16;4;sausās sūkalas,sviests,no piena,olu pulveris
n98;13;2;vistas tauki,vistas gaļas pulveris
n99;22;2;vistas gaļa,vista
n100;23;2;vistas gaļa,vista
v1;10;0;
v2;9;0;
v3;4;0;
v4;32;0;
v5;4;0;
v6;21;0;
v7;29;0;
v8;29;0;
v9;16;0;
v10;21;0;
v11;21;0;
v12;23;0;
v13;16;0;
v14;29;0;
v15;11;0;
v16;25;0;
v17;25;0;
v18;6;0;
v19;20;0;
v20;14;0;
v21;14;0;
v22;24;0;
v23;24;0;
v24;9;0;
v25;9;0;
v26;9;0;
v27;6;0;
v28;8;0;
v29;8;0;
v30;7;0;
v31;10;0;
v32;25;0;
v33;4;0;
v34;9;0;
v35;12;0;
v36;14;0;
v37;10;0;
v38;6;0;
v39;5;0;
v40;5;0;
v41;8;0;
v42;13;0;
v43;15;0;
v44;3;0;
v45;3;0;
v46;8;0;
v47;8;0;
v48;22;0;
v49;11;0;
v50;15;0;
v51;15;0;
v52;19;0;
v53;9;0;
v54;18;0;
v55;22;0;
v56;18;0;
v57;3;0;
v58;9;0;
v59;14;0;
v60;14;0;
v61;24;0;
v62;24;0;
v63;9;0;
v64;5;0;
v65;4;0;
v66;5;0;
v67;4;0;
v68;3;0;
v69;23;0;
v70;3;0;
v71;28;0;
v72;20;0;
v73;15;0;
v74;19;0;
v75;20;0;
v76;17;0;
v77;9;0;
v78;4;0;
v79;6;0;
v80;8;0;
v81;8;0;
v82;10;0;
v83;9;0;
v84;10;0;
v85;11;0;
v86;4;0;
v87;16;0;
v88;8;0;
v89;8;0;
v90;19;0;
v91;5;0;
v92;6;0;
v93;17;0;
v94;18;0;
v95;18;0;
v96;11;0;
v97;15;0;
v98;19;0;
v99;19;0;
v100;20;0;
